supa de pui,calzone,inghetata
supa frantuzeasca de ceapa,piure de cartofi si pui,gogosi
supa crema de rosii,butter chicken,paine cu banana
supa de linte,sushi,croissant
supa crema de cartofi dulci,pui masala,clatite
supa de conopida,pui cu orez,biscuiti
ramen,lasagna,budinca
supa crema de ciuperci,ardei umpluti,turta dulce
ciorba de vacuta,paste pesto,trufe de ciocolata
gazpacho,salata de ton,lava cake
supa crema de rosii,macaroane cu branza,briose vegane
supa de linte,burger cu falafel,prajituri vegane
supa crema de cartofi dulci,paste aglio e olio,clatite vegane
supa frantuzeasca de ceapa,salata cu tofu,biscuiti vegani
supa crema de ciuperci,sushi vegetarian,gogosi vegane
gazpacho,tacos cu fasole,iaurt
supa crema de conopida,paella cu legume,inghetata vegana
minestrone,pizza margherita,tarte tatin
ramen,bol poke vegetarian,mere caramelizate
ciorba de curcan,legume la gratar cu sos,salata de fructe
supa crema de rosii,somon la gratar,trufe de ciocolata
supa frantuzeasca de ceapa,cod si orez,clatite
ciorba de peste,salata cu ton,paine cu banane
supa de linte,sushi,gogosi
supa crema de morcovi,bol poke cu somon,inghetata
ramen,poke bowl cu ton,prajitura cu branza
supa crema de ciuperci,piure de cartofi si dorada,creme brulee
gazpacho,peste prajit cu mamaliga,prajitura cu migdale
supa crema de peste,tacos cu peste,placinta cu mere
minestrone,curry de peste,tiramisu


